Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_4
In der Nachbarsstadt gibt es die größte Messe für,bücher,7,13.0,49,66,10,261,0.1060606060606061,3.706383995402767,eh,315,315,eh,s_eh_315p.wav,s_eh_315tw,0.9312937117307023,s_eh_315p.wav,s_eh_315tw_6.wav,Stimuli/s_eh_315p.wav,Stimuli/s_eh_315tw_6.wav,0.2448415477607213
Ich schreibe einen langen Brief an meine,cousine,1,2.0,10,66,8,211,0.01515151515151515,1.673681629766757,em_lc,251,251,em,s_em_251p.wav,s_em_lc_251tw,0.3051902722753459,s_em_251p.wav,s_em_lc_251tw_12.wav,Stimuli/s_em_251p.wav,Stimuli/s_em_lc_251tw_12.wav,0.2548616828617237
Ungeduldig schaut Toni auf ihre,kuh,0,5.0,5,76,6,22,0.0,0.3742793427934435,el_mm,415,415,el,s_el_415p.wav,s_el_mm_415tw,0.005993606038986354,s_el_415p.wav,s_el_mm_415tw_12.wav,Stimuli/s_el_415p.wav,Stimuli/s_el_mm_415tw_12.wav,0.2692478224054081
Auf dem Bauernhof gibt es viele grunzende,schweine,72,4.0,5,76,8,2,0.9473684210526315,0.279154911744805,el,13,13,el,s_el_013p.wav,s_el_013tw,0.37816719959697653,s_el_013p.wav,s_el_013tw_1.wav,Stimuli/s_el_013p.wav,Stimuli/s_el_013tw_1.wav,0.27098820404060275
Auf jedem Bild in dieser Galerie findet sich ein,hund,5,14.0,40,64,10,40,0.078125,3.501161615984235,eh,36,36,eh,s_eh_036p.wav,s_eh_036tw,0.9583735260770642,s_eh_036p.wav,s_eh_036tw_6.wav,Stimuli/s_eh_036p.wav,Stimuli/s_eh_036tw_6.wav,0.2721823163479
Die alte Dame sitzt auf der Parkbank und füttert die,tauben,28,7.0,8,68,11,149,0.4117647058823529,1.399570528835303,em_hc,164,164,em,s_em_164p.wav,s_em_hc_164tw,0.270080764652156,s_em_164p.wav,s_em_hc_164tw_1.wav,Stimuli/s_em_164p.wav,Stimuli/s_em_hc_164tw_1.wav,0.2757539501636409
Am Abend verbrachte sie gern noch Zeit mit ihren,hasen,1,5.0,9,50,10,4,0.02,1.585504265655088,em_lc,4,4,em,s_em_004p.wav,s_em_lc_004tw,0.5052313417096371,s_em_004p.wav,s_em_lc_004tw_1.wav,Stimuli/s_em_004p.wav,Stimuli/s_em_lc_004tw_1.wav,0.27675166230260084
Nach einer Veranstaltung putzt die Reinigungsfirma den,stuhl,1,11.0,13,67,8,318,0.01492537313432836,1.598486733010881,em_lc,379,379,em,s_em_379p.wav,s_em_lc_379tw,0.552279896197847,s_em_379p.wav,s_em_lc_379tw_3.wav,Stimuli/s_em_379p.wav,Stimuli/s_em_lc_379tw_3.wav,0.27695737516249563
Auf dem Waschbecken liegt ein Stück,seife,63,4.0,5,67,7,25,0.9402985074626866,0.3089092199481815,el,20,20,el,s_el_020p.wav,s_el_020tw,0.6503944106636229,s_el_020p.wav,s_el_020tw_3.wav,Stimuli/s_el_020p.wav,Stimuli/s_el_020tw_3.wav,0.27714527000304423
Über den Stuhl hängt sie ihre,jacke,51,5.0,11,68,7,338,0.75,1.092155375096271,em_hc,410,410,em,s_em_410p.wav,s_em_hc_410tw,0.48416235517798656,s_em_410p.wav,s_em_hc_410tw_3.wav,Stimuli/s_em_410p.wav,Stimuli/s_em_hc_410tw_3.wav,0.29062396623157416
