Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_3
Der Skilift schaukelte bedenklich im,wind,64,7.0,7,76,6,7,0.8421052631578947,0.6688205967138676,el,140,140,el,s_el_140p.wav,s_el_140tw,0.6027014202021338,s_el_140p.wav,s_el_140tw_1.wav,Stimuli/s_el_140p.wav,Stimuli/s_el_140tw_1.wav,0.26607516304542034
Ihr Großvater vererbte ihr seine wertvolle,uhr,36,11.0,12,68,7,216,0.5294117647058824,1.584654678190337,em_hc,259,259,em,s_em_259p.wav,s_em_hc_259tw,0.3292269223750456,s_em_259p.wav,s_em_hc_259tw_12.wav,Stimuli/s_em_259p.wav,Stimuli/s_em_hc_259tw_12.wav,0.27191105145850525
Für die Vorratshaltung am besten geeignet sind Konserven mit,deckel,9,3.0,30,68,10,196,0.1323529411764706,2.999887306214324,eh,234,234,eh,s_eh_234p.wav,s_eh_234tw,0.5120602373212014,s_eh_234p.wav,s_eh_234tw_12.wav,Stimuli/s_eh_234p.wav,Stimuli/s_eh_234tw_12.wav,0.27268179583931296
In dieser Woche hat der Supermarkt ein Angebot für,obst,6,25.0,42,68,10,270,0.08823529411764706,3.579427184510845,eh,321,321,eh,s_eh_321p.wav,s_eh_321tw,0.9171788480024335,s_eh_321p.wav,s_eh_321tw_3.wav,Stimuli/s_eh_321p.wav,Stimuli/s_eh_321tw_3.wav,0.27470625770052226
Der Fluss durch die Stadt führt direkt zum,meer,31,6.0,16,66,9,99,0.4696969696969697,1.82405282167873,em_hc,107,107,em,s_em_107p.wav,s_em_hc_107tw,0.7969668342373754,s_em_107p.wav,s_em_hc_107tw_3.wav,Stimuli/s_em_107p.wav,Stimuli/s_em_hc_107tw_3.wav,0.28064826239444085
Der See ist ein beliebter Ort zum,angeln,1,1.0,13,68,8,132,0.01470588235294118,1.717522048202358,em_lc,137,137,em,s_em_137p.wav,s_em_lc_137tw,0.16001055611537285,s_em_137p.wav,s_em_lc_137tw_6.wav,Stimuli/s_em_137p.wav,Stimuli/s_em_lc_137tw_6.wav,0.2904146317182015
Nach vielen Niederlagen steht die Fußballmannschaft kurz vor dem,abstieg,30,1.0,8,76,10,19,0.3947368421052632,1.354694128992041,em_hc,382,382,em,s_em_382p.wav,s_em_hc_382tw,0.07876377039852522,s_em_382p.wav,s_em_hc_382tw_6.wav,Stimuli/s_em_382p.wav,Stimuli/s_em_hc_382tw_6.wav,0.29270049055793756
Die Kellnerin serviert den Nachtisch auf dem,tablett,42,6.0,10,65,8,169,0.6461538461538462,1.272459243651833,em_hc,195,195,em,s_em_195p.wav,s_em_hc_195tw,0.015160799109355083,s_em_195p.wav,s_em_hc_195tw_6.wav,Stimuli/s_em_195p.wav,Stimuli/s_em_hc_195tw_6.wav,0.29345570738974536
Frau Martin stellten den bösen Schüler in die ,Grube,0,,2,47,9,21,0.0,0.1029666604654124,el_mm,231,231,el,s_el_231p.wav,s_el_mm_231tw,0.9371938662552454,s_el_231p.wav,s_el_mm_231tw_3.wav,Stimuli/s_el_231p.wav,Stimuli/s_el_mm_231tw_3.wav,0.2991185364932396
Nach dem Essen bezahlte er die ,zweige,0,,4,43,7,28,0.0,0.4821102833251335,el_mm,363,363,el,s_el_363p.wav,s_el_mm_363tw,0.258799357528518,s_el_363p.wav,s_el_mm_363tw_12.wav,Stimuli/s_el_363p.wav,Stimuli/s_el_mm_363tw_12.wav,0.2996319403009866
Wir treffen uns heute Nachmittag im,foyer,1,4.0,12,68,7,352,0.01470588235294118,1.773827066734801,em_lc,429,429,em,s_em_429p.wav,s_em_lc_429tw,0.42034495452822573,s_em_429p.wav,s_em_lc_429tw_12.wav,Stimuli/s_em_429p.wav,Stimuli/s_em_lc_429tw_12.wav,0.30804535185838644
Die alte Straßenbahn rattert auf den,schienen,45,4.0,5,68,7,150,0.6617647058823529,0.8572952492210091,em_hc,166,166,em,s_em_166p.wav,s_em_hc_166tw,0.20258200438454133,s_em_166p.wav,s_em_hc_166tw_6.wav,Stimuli/s_em_166p.wav,Stimuli/s_em_hc_166tw_6.wav,0.31069535091506584
Die Zugvögel flogen nach ,Gefühl,0,,2,53,5,17,0.0,0.1606805620415462,el_mm,220,220,el,s_el_220p.wav,s_el_mm_220tw,0.562866061694065,s_el_220p.wav,s_el_mm_220tw_1.wav,Stimuli/s_el_220p.wav,Stimuli/s_el_mm_220tw_1.wav,0.3234117645536082
Auf der Ladefläche des Transporters befand sich eine,kiste,14,10.0,35,68,9,32,0.2058823529411765,3.189191245204432,eh,27,27,eh,s_eh_027p.wav,s_eh_027tw,0.6681154522385434,s_eh_027p.wav,s_eh_027tw_1.wav,Stimuli/s_eh_027p.wav,Stimuli/s_eh_027tw_1.wav,0.3450749312293343
Als Kind liebte sie das Märchen von Hänsel und,nemo,0,1.0,1,66,10,2,0.0,0.0,el_mm,1,1,el,s_el_001p.wav,s_el_mm_001tw,0.5473170681395589,s_el_001p.wav,s_el_mm_001tw_1.wav,Stimuli/s_el_001p.wav,Stimuli/s_el_mm_001tw_1.wav,0.3465665581791344
"Sie strengte sich an, aber erkannte keine",muster,8,26.0,41,67,8,331,0.1194029850746269,3.489619067733407,eh,400,400,eh,s_eh_400p.wav,s_eh_400tw,0.2004780713121127,s_eh_400p.wav,s_eh_400tw_6.wav,Stimuli/s_eh_400p.wav,Stimuli/s_eh_400tw_6.wav,0.3471636108315874
Der Zug lag noch gut in der ,Zeit,50,,3,53,8,12,0.9433962264150944,0.2535476752025521,el,162,162,el,s_el_162p.wav,s_el_162tw,0.49599861164349734,s_el_162p.wav,s_el_162tw_1.wav,Stimuli/s_el_162p.wav,Stimuli/s_el_162tw_1.wav,0.3480659530882868
Der Fahrer fährt die Staatsgäste sicher durch die,nacht,1,11.0,16,68,9,95,0.01470588235294118,1.543851091202297,em_lc,100,100,em,s_em_100p.wav,s_em_lc_100tw,0.17775205616296963,s_em_100p.wav,s_em_lc_100tw_6.wav,Stimuli/s_em_100p.wav,Stimuli/s_em_lc_100tw_6.wav,0.35078185728896705
Die Polizistin verhaftete den Verdächtigen auf der,parkbank,1,5.0,10,67,8,179,0.01492537313432836,1.20362162610754,em_lc,207,207,em,s_em_207p.wav,s_em_lc_207tw,0.5857450488035112,s_em_207p.wav,s_em_lc_207tw_1.wav,Stimuli/s_em_207p.wav,Stimuli/s_em_lc_207tw_1.wav,0.35085548588692617
Mein Vater durchsucht den Werkzeugkasten nach einer,zange,28,13.0,13,67,8,293,0.417910447761194,1.699390603716866,em_hc,350,350,em,s_em_350p.wav,s_em_hc_350tw,0.03831541372019687,s_em_350p.wav,s_em_hc_350tw_6.wav,Stimuli/s_em_350p.wav,Stimuli/s_em_hc_350tw_6.wav,0.3558695589260358
Beim Skifahren brach sich Jörg das ,Bein ,40,,4,44,7,2,0.9090909090909091,0.3991561674255942,el,54,54,el,s_el_054p.wav,s_el_054tw,0.2542448182581831,s_el_054p.wav,s_el_054tw_12.wav,Stimuli/s_el_054p.wav,Stimuli/s_el_054tw_12.wav,0.3707209193447708
Er spaltete das Holz mit einer großen ,Axt,43,,1,43,8,19,1.0,0.0,el,227,227,el,s_el_227p.wav,s_el_227tw,0.36679541596615695,s_el_227p.wav,s_el_227tw_12.wav,Stimuli/s_el_227p.wav,Stimuli/s_el_227tw_12.wav,0.3753266875959391
