Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_2
Zum 20-jährigen Jubiläum bekam die Sekräterin von ihrem Chef eine Schachtel,pralinen,56,3.0,5,67,12,356,0.835820895522388,0.5919280370833983,el,435,435,el,s_el_435p.wav,s_el_435tw,0.19954353135695868,s_el_435p.wav,s_el_435tw_3.wav,Stimuli/s_el_435p.wav,Stimuli/s_el_435tw_3.wav,0.0010267075582340857
Die italienische Mafia handelt vor allem mit,köpfchen,1,6.0,11,68,8,163,0.01470588235294118,1.133246777304232,em_lc,186,186,em,s_em_186p.wav,s_em_lc_186tw,0.886162624543655,s_em_186p.wav,s_em_lc_186tw_1.wav,Stimuli/s_em_186p.wav,Stimuli/s_em_lc_186tw_1.wav,0.001764729757479211
Die Kaffeetasse auf dem Tisch hat ein Muster mit,blumen,25,2.0,26,68,10,167,0.3676470588235294,2.605279362890865,eh,192,192,eh,s_eh_192p.wav,s_eh_192tw,0.854881305334241,s_eh_192p.wav,s_eh_192tw_12.wav,Stimuli/s_eh_192p.wav,Stimuli/s_eh_192tw_12.wav,0.00855818938938313
Der Arzt bemühte sich sehr um seinen ,Schnellkochtopf,0,,3,47,8,5,0.0,0.2054707498023056,el_mm,88,88,el,s_el_088p.wav,s_el_mm_088tw,0.4404219066939965,s_el_088p.wav,s_el_mm_088tw_6.wav,Stimuli/s_el_088p.wav,Stimuli/s_el_mm_088tw_6.wav,0.008960989469755432
Auf einer Mission untersuchten die Astronauten die Oberfläche des,raumschiffs,2,7.0,7,67,10,36,0.02985074626865672,1.027560442651357,em_lc,31,31,em,s_em_031p.wav,s_em_lc_031tw,0.5941189850356087,s_em_031p.wav,s_em_lc_031tw_12.wav,Stimuli/s_em_031p.wav,Stimuli/s_em_lc_031tw_12.wav,0.011557785483429561
Kurz vor der Ziellinie fiel der Reiter von seinem,strauß,0,1.0,3,66,10,287,0.0,0.2138398613629944,el_mm,342,342,el,s_el_342p.wav,s_el_mm_342tw,0.3593520907253799,s_el_342p.wav,s_el_mm_342tw_6.wav,Stimuli/s_el_342p.wav,Stimuli/s_el_mm_342tw_6.wav,0.01378674188602158
Hinter den sieben Bergen wohnen die sieben,kröten,0,1.0,1,67,8,206,0.0,0.0,el_mm,245,245,el,s_el_245p.wav,s_el_mm_245tw,0.12145421861781314,s_el_245p.wav,s_el_mm_245tw_3.wav,Stimuli/s_el_245p.wav,Stimuli/s_el_mm_245tw_3.wav,0.03202523366221721
Die Belegschaft streikt für ein höheres,gehalt,67,3.0,3,76,7,8,0.881578947368421,0.4050762635411546,el,168,168,el,s_el_168p.wav,s_el_168tw,0.9852240819547546,s_el_168p.wav,s_el_168tw_1.wav,Stimuli/s_el_168p.wav,Stimuli/s_el_168tw_1.wav,0.03344954945483447
Der Winter war sehr hart in diesem ,schal,0,,1,44,8,10,0.0,0.0,el_mm,156,156,el,s_el_156p.wav,s_el_mm_156tw,0.6442054260182096,s_el_156p.wav,s_el_mm_156tw_1.wav,Stimuli/s_el_156p.wav,Stimuli/s_el_mm_156tw_1.wav,0.03544616089245756
Der Apfelkuchen war von ausgezeichnetem ,Geschmack ,37,,5,41,6,4,0.9024390243902439,0.4549388284643979,el,86,86,el,s_el_086p.wav,s_el_086tw,0.24571984901480926,s_el_086p.wav,s_el_086tw_6.wav,Stimuli/s_el_086p.wav,Stimuli/s_el_086tw_6.wav,0.03916213149372905
Während der Konzerttage spielt die Musikerin ein Stück auf ihrer,geige,23,4.0,12,68,11,345,0.3382352941176471,1.990518482240906,em_hc,422,422,em,s_em_422p.wav,s_em_hc_422tw,0.8640478828347163,s_em_422p.wav,s_em_hc_422tw_1.wav,Stimuli/s_em_422p.wav,Stimuli/s_em_hc_422tw_1.wav,0.04565851238500218
Auf dem Oktoberfest trinken die Menschen viel,bier,64,2.0,2,66,8,21,0.9696969696969697,0.1357939587515939,el,17,17,el,s_el_017p.wav,s_el_017tw,0.9465771295961116,s_el_017p.wav,s_el_017tw_1.wav,Stimuli/s_el_017p.wav,Stimuli/s_el_017tw_1.wav,0.046881942123945586
Der Italiener von nebenan serviert die beste,wurst,1,6.0,6,65,8,111,0.01538461538461539,0.8751472512151466,em_lc,117,117,em,s_em_117p.wav,s_em_lc_117tw,0.7704636709116641,s_em_117p.wav,s_em_lc_117tw_1.wav,Stimuli/s_em_117p.wav,Stimuli/s_em_lc_117tw_1.wav,0.055819052600835306
Der Skilift schaukelte bedenklich im,wind,64,7.0,7,76,6,7,0.8421052631578947,0.6688205967138676,el,140,140,el,s_el_140p.wav,s_el_140tw,0.6027014202021338,s_el_140p.wav,s_el_140tw_12.wav,Stimuli/s_el_140p.wav,Stimuli/s_el_140tw_12.wav,0.056847522618586166
Die Bewohner bemerkten den Einbruch erst am nächsten ,Wall,0,,2,44,9,13,0.0,0.6416366319605135,el_mm,170,170,el,s_el_170p.wav,s_el_mm_170tw,0.6964467450370888,s_el_170p.wav,s_el_mm_170tw_1.wav,Stimuli/s_el_170p.wav,Stimuli/s_el_mm_170tw_1.wav,0.06326498075045828
Rund um den Garten zog er einen ,gnom,0,,3,53,8,34,0.0,0.4252275911752877,el_mm,391,391,el,s_el_391p.wav,s_el_mm_391tw,0.021040217218277313,s_el_391p.wav,s_el_mm_391tw_3.wav,Stimuli/s_el_391p.wav,Stimuli/s_el_mm_391tw_3.wav,0.0690526837293245
Für die Vorratshaltung am besten geeignet sind Konserven mit,deckel,9,3.0,30,68,10,196,0.1323529411764706,2.999887306214324,eh,234,234,eh,s_eh_234p.wav,s_eh_234tw,0.5120602373212014,s_eh_234p.wav,s_eh_234tw_6.wav,Stimuli/s_eh_234p.wav,Stimuli/s_eh_234tw_6.wav,0.07696596474498951
Im Kofferraum versteckte der Ganove die,beute,21,1.0,11,66,7,231,0.3181818181818182,1.898842826726524,em_hc,279,279,em,s_em_279p.wav,s_em_hc_279tw,0.24940072191788598,s_em_279p.wav,s_em_hc_279tw_6.wav,Stimuli/s_em_279p.wav,Stimuli/s_em_hc_279tw_6.wav,0.07920605485402932
Am Montag hält Karim ein Referat über,tiere,4,52.0,58,67,8,9,0.05970149253731343,3.997783013253671,eh,10,10,eh,s_eh_010p.wav,s_eh_010tw,0.23171691912041437,s_eh_010p.wav,s_eh_010tw_6.wav,Stimuli/s_eh_010p.wav,Stimuli/s_eh_010tw_6.wav,0.08733091355917888
In der Dunkelheit greift Theo nach der,zahnbürste,1,14.0,15,67,8,255,0.01492537313432836,1.810480301201734,em_lc,308,308,em,s_em_308p.wav,s_em_lc_308tw,0.45042704460107097,s_em_308p.wav,s_em_lc_308tw_6.wav,Stimuli/s_em_308p.wav,Stimuli/s_em_lc_308tw_6.wav,0.09387371931119903
"Sie strengte sich an, aber erkannte keine",muster,8,26.0,41,67,8,331,0.1194029850746269,3.489619067733407,eh,400,400,eh,s_eh_400p.wav,s_eh_400tw,0.2004780713121127,s_eh_400p.wav,s_eh_400tw_3.wav,Stimuli/s_eh_400p.wav,Stimuli/s_eh_400tw_3.wav,0.10074000365426883
Das Haus am Ende der Straße hat neue,fenster,35,4.0,14,60,9,71,0.5833333333333334,1.631634333499502,em_hc,72,72,em,s_em_072p.wav,s_em_hc_072tw,0.5457022553618591,s_em_072p.wav,s_em_hc_072tw_12.wav,Stimuli/s_em_072p.wav,Stimuli/s_em_hc_072tw_12.wav,0.10272902974359466
Liebe geht durch den,magen,66,2.0,3,68,5,288,0.9705882352941176,0.1530781026210465,el,346,346,el,s_el_346p.wav,s_el_346tw,0.04238845748655151,s_el_346p.wav,s_el_346tw_3.wav,Stimuli/s_el_346p.wav,Stimuli/s_el_346tw_3.wav,0.11389763536155306
Der Schaffner wurde misstrauisch wegen des,tickets,23,23.0,26,66,7,130,0.3484848484848485,2.638984040413408,eh,136,136,eh,s_eh_136p.wav,s_eh_136tw,0.8771816951697382,s_eh_136p.wav,s_eh_136tw_1.wav,Stimuli/s_eh_136p.wav,Stimuli/s_eh_136tw_1.wav,0.11473885891588576
Nächstes Jahr kommt mein kleiner Sohn schon in die ,Miene,0,,2,47,10,30,0.0,0.1029666604654124,el_mm,384,384,el,s_el_384p.wav,s_el_mm_384tw,0.10595502277846514,s_el_384p.wav,s_el_mm_384tw_3.wav,Stimuli/s_el_384p.wav,Stimuli/s_el_mm_384tw_3.wav,0.11924223926403965
Beim Kuchenbacken vergaß meine Mutter tatsächlich das,mehl,41,4.0,5,67,8,58,0.6119402985074627,1.136943230709728,em_hc,52,52,em,s_em_052p.wav,s_em_hc_052tw,0.217914874814782,s_em_052p.wav,s_em_hc_052tw_6.wav,Stimuli/s_em_052p.wav,Stimuli/s_em_hc_052tw_6.wav,0.1307350943357073
Ingrid liest bei Romanen immer zuerst die letzte,seite,73,1.0,2,75,9,15,0.9733333333333334,0.1229569993369445,el,334,334,el,s_el_334p.wav,s_el_334tw,0.4188518772270554,s_el_334p.wav,s_el_334tw_6.wav,Stimuli/s_el_334p.wav,Stimuli/s_el_334tw_6.wav,0.13725458809213453
Das erste Mal spielte der Schauspieler die Rolle des,bösewichts,16,3.0,27,66,10,66,0.2424242424242424,2.766499916533065,eh,66,66,eh,s_eh_066p.wav,s_eh_066tw,0.9393673097121708,s_eh_066p.wav,s_eh_066tw_1.wav,Stimuli/s_eh_066p.wav,Stimuli/s_eh_066tw_1.wav,0.1432133555042041
Im Kasino verlor André sein ganzes,korn,0,2.0,4,76,7,12,0.0,0.5763245794588869,el_mm,276,276,el,s_el_276p.wav,s_el_mm_276tw,0.23753272250445245,s_el_276p.wav,s_el_mm_276tw_6.wav,Stimuli/s_el_276p.wav,Stimuli/s_el_mm_276tw_6.wav,0.1436852807913892
Mein Vater durchsucht den Werkzeugkasten nach einer,zange,28,13.0,13,67,8,293,0.417910447761194,1.699390603716866,em_hc,350,350,em,s_em_350p.wav,s_em_hc_350tw,0.03831541372019687,s_em_350p.wav,s_em_hc_350tw_3.wav,Stimuli/s_em_350p.wav,Stimuli/s_em_hc_350tw_3.wav,0.15027655662484418
