Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_3
Ich verbringe meine Ferien gerne am,weiher,1,6.0,6,67,7,215,0.01492537313432836,1.176330126649963,em_lc,257,257,em,s_em_257p.wav,s_em_lc_257tw,0.8660476038228997,s_em_257p.wav,s_em_lc_257tw_3.wav,Stimuli/s_em_257p.wav,Stimuli/s_em_lc_257tw_3.wav,0.003213895236350295
Zum Angeln spießte sie den Wurm auf den,haken,64,3.0,6,76,9,25,0.8421052631578947,0.6436950374390724,el,437,437,el,s_el_437p.wav,s_el_437tw,0.682030314093509,s_el_437p.wav,s_el_437tw_1.wav,Stimuli/s_el_437p.wav,Stimuli/s_el_437tw_1.wav,0.0064405417433403
In der Jugendherberge übernachten viele,frauen,1,2.0,12,67,6,257,0.01492537313432836,1.764350618439406,em_lc,311,311,em,s_em_311p.wav,s_em_lc_311tw,0.20680023000236314,s_em_311p.wav,s_em_lc_311tw_6.wav,Stimuli/s_em_311p.wav,Stimuli/s_em_lc_311tw_6.wav,0.007155307243969844
Nach einer anstrengenden Radtour hatte er großen Hunger und,angst,0,2.0,3,66,10,313,0.0,0.1567984187685619,el_mm,372,372,el,s_el_372p.wav,s_el_mm_372tw,0.6014503566664524,s_el_372p.wav,s_el_mm_372tw_1.wav,Stimuli/s_el_372p.wav,Stimuli/s_el_mm_372tw_1.wav,0.012670066906518618
Auf ihre Spaghetti reibt sie sich,trüffel,1,4.0,4,68,7,38,0.01470588235294118,0.8097062407470905,em_lc,33,33,em,s_em_033p.wav,s_em_lc_033tw,0.46463423954315963,s_em_033p.wav,s_em_lc_033tw_12.wav,Stimuli/s_em_033p.wav,Stimuli/s_em_lc_033tw_12.wav,0.024564647993548405
Im Sandkasten spielen die Kinder mit Schaufel und,gabel,1,5.0,10,68,9,236,0.01470588235294118,1.334344616596775,em_lc,283,283,em,s_em_283p.wav,s_em_lc_283tw,0.26078138496125214,s_em_283p.wav,s_em_lc_283tw_6.wav,Stimuli/s_em_283p.wav,Stimuli/s_em_lc_283tw_6.wav,0.029489885013914363
Der Winter ist die beste Zeit zum,skifahren,29,12.0,14,66,8,145,0.4393939393939394,1.878044805414511,em_hc,154,154,em,s_em_154p.wav,s_em_hc_154tw,0.825364564747592,s_em_154p.wav,s_em_hc_154tw_3.wav,Stimuli/s_em_154p.wav,Stimuli/s_em_hc_154tw_3.wav,0.0333128072402995
Auf dem Waschbecken liegt ein Stück,seife,63,4.0,5,67,7,25,0.9402985074626866,0.3089092199481815,el,20,20,el,s_el_020p.wav,s_el_020tw,0.6503944106636229,s_el_020p.wav,s_el_020tw_1.wav,Stimuli/s_el_020p.wav,Stimuli/s_el_020tw_1.wav,0.0391053127604547
Morgens liest mein Vater,Zeitung,37,,4,40,5,27,0.925,0.3487803849180287,el,361,361,el,s_el_361p.wav,s_el_361tw,0.45192103706338993,s_el_361p.wav,s_el_361tw_1.wav,Stimuli/s_el_361p.wav,Stimuli/s_el_361tw_1.wav,0.0417130792532493
Immer mehr Jugendliche nehmen leichtsinnigerweise ,Drogen ,43,,2,44,6,25,0.9772727272727273,0.108471339035916,el,297,297,el,s_el_297p.wav,s_el_297tw,0.47111329957453196,s_el_297p.wav,s_el_297tw_1.wav,Stimuli/s_el_297p.wav,Stimuli/s_el_297tw_1.wav,0.042065763261919575
Der warme Sandstrand kitzelt unter den,füßen,57,1.0,6,68,7,141,0.8382352941176471,0.6877726640818627,el,150,150,el,s_el_150p.wav,s_el_150tw,0.28929383993721314,s_el_150p.wav,s_el_150tw_12.wav,Stimuli/s_el_150p.wav,Stimuli/s_el_150tw_12.wav,0.0451857814409361
Über Nacht liegt das Kreuzfahrtschiff sicher im,hafen,76,1.0,1,76,8,21,1.0,0.0,el,412,412,el,s_el_412p.wav,s_el_412tw,0.7279150065807186,s_el_412p.wav,s_el_412tw_3.wav,Stimuli/s_el_412p.wav,Stimuli/s_el_412tw_3.wav,0.04738527115661595
Die Forscherin entdeckt eine neue Pflanzenart im,dschungel,16,7.0,21,66,8,157,0.2424242424242424,2.513229419959056,eh,183,183,eh,s_eh_183p.wav,s_eh_183tw,0.04850861546355978,s_eh_183p.wav,s_eh_183tw_6.wav,Stimuli/s_eh_183p.wav,Stimuli/s_eh_183tw_6.wav,0.051212160301318144
Beim Kuchenbacken vergaß meine Mutter tatsächlich das,mehl,41,4.0,5,67,8,58,0.6119402985074627,1.136943230709728,em_hc,52,52,em,s_em_052p.wav,s_em_hc_052tw,0.217914874814782,s_em_052p.wav,s_em_hc_052tw_12.wav,Stimuli/s_em_052p.wav,Stimuli/s_em_hc_052tw_12.wav,0.05656780714523313
Das feuchte Handtuch hängt an dem,ofen,1,8.0,14,66,7,68,0.01515151515151515,1.57162213231933,em_lc,68,68,em,s_em_068p.wav,s_em_lc_068tw,0.42859490435583614,s_em_068p.wav,s_em_lc_068tw_12.wav,Stimuli/s_em_068p.wav,Stimuli/s_em_lc_068tw_12.wav,0.061673895807455414
Der Verdächtige fällt besonders auf durch seinen,bart,13,4.0,20,62,8,138,0.2096774193548387,2.58873142166001,eh,147,147,eh,s_eh_147p.wav,s_eh_147tw,0.1496143664546571,s_eh_147p.wav,s_eh_147tw_6.wav,Stimuli/s_eh_147p.wav,Stimuli/s_eh_147tw_6.wav,0.06685123486528621
Am liebsten liest sie Fantasy-Romane über,drachen,13,3.0,28,66,7,8,0.196969696969697,2.933257173160831,eh,9,9,eh,s_eh_009p.wav,s_eh_009tw,0.7266040754630844,s_eh_009p.wav,s_eh_009tw_1.wav,Stimuli/s_eh_009p.wav,Stimuli/s_eh_009tw_1.wav,0.06912096137015988
Der Apfelkuchen war von ausgezeichnetem ,Geschmack ,37,,5,41,6,4,0.9024390243902439,0.4549388284643979,el,86,86,el,s_el_086p.wav,s_el_086tw,0.24571984901480926,s_el_086p.wav,s_el_086tw_12.wav,Stimuli/s_el_086p.wav,Stimuli/s_el_086tw_12.wav,0.06923456008523743
Die Feuerwehrleute retten die Menschen aus einem brennenden,busch,0,5.0,6,67,9,156,0.0,0.5695749451542076,el_mm,181,181,el,s_el_181p.wav,s_el_mm_181tw,0.11287395025554825,s_el_181p.wav,s_el_mm_181tw_6.wav,Stimuli/s_el_181p.wav,Stimuli/s_el_mm_181tw_6.wav,0.07040063871129842
Im Kasino verlor André sein ganzes,korn,0,2.0,4,76,7,12,0.0,0.5763245794588869,el_mm,276,276,el,s_el_276p.wav,s_el_mm_276tw,0.23753272250445245,s_el_276p.wav,s_el_mm_276tw_12.wav,Stimuli/s_el_276p.wav,Stimuli/s_el_mm_276tw_12.wav,0.07344212903859793
Meine Pommes esse ich am liebsten mit Ketchup und,salat,0,1.0,1,76,10,16,0.0,0.0,el_mm,352,352,el,s_el_352p.wav,s_el_mm_352tw,0.4962386414285629,s_el_352p.wav,s_el_mm_352tw_1.wav,Stimuli/s_el_352p.wav,Stimuli/s_el_mm_352tw_1.wav,0.08083234860452249
Die lange steile Treppe führt zum,dachboden,17,8.0,29,66,7,174,0.2575757575757576,2.864106074772728,eh,203,203,eh,s_eh_203p.wav,s_eh_203tw,0.1907437186232982,s_eh_203p.wav,s_eh_203tw_6.wav,Stimuli/s_eh_203p.wav,Stimuli/s_eh_203tw_6.wav,0.08186363771898819
Der Klempner reinigte das verstopfte,rohr,63,4.0,5,75,6,6,0.84,0.6314857694675223,el,125,125,el,s_el_125p.wav,s_el_125tw,0.7158003800064934,s_el_125p.wav,s_el_125tw_3.wav,Stimuli/s_el_125p.wav,Stimuli/s_el_125tw_3.wav,0.08196027429328123
Er sah Licht am Ende des,Tunnels,42,,5,47,7,18,0.8936170212765957,0.4806067861989658,el,224,224,el,s_el_224p.wav,s_el_224tw,0.1701242109524127,s_el_224p.wav,s_el_224tw_6.wav,Stimuli/s_el_224p.wav,Stimuli/s_el_224tw_6.wav,0.09779509536042086
Bei einem Strandspaziergang entdeckten sie am Ufer einen,wal,11,31.0,31,67,9,52,0.1641791044776119,3.090458647716546,eh,47,47,eh,s_eh_047p.wav,s_eh_047tw,0.24302030758567839,s_eh_047p.wav,s_eh_047tw_12.wav,Stimuli/s_eh_047p.wav,Stimuli/s_eh_047tw_12.wav,0.09856419920458004
Die Kinder spielen mit einem Ball im,dreieck,1,2.0,18,68,8,170,0.01470588235294118,2.003541273584357,em_lc,197,197,em,s_em_197p.wav,s_em_lc_197tw,0.8456676015678495,s_em_197p.wav,s_em_lc_197tw_3.wav,Stimuli/s_em_197p.wav,Stimuli/s_em_lc_197tw_3.wav,0.10229366175936827
Hinter den sieben Bergen wohnen die sieben,kröten,0,1.0,1,67,8,206,0.0,0.0,el_mm,245,245,el,s_el_245p.wav,s_el_mm_245tw,0.12145421861781314,s_el_245p.wav,s_el_mm_245tw_6.wav,Stimuli/s_el_245p.wav,Stimuli/s_el_mm_245tw_6.wav,0.10973377897740211
Die U-Bahn am Marienplatz war voller,ratten,1,12.0,17,66,7,185,0.01515151515151515,1.642563514548485,em_lc,213,213,em,s_em_213p.wav,s_em_lc_213tw,0.40719372584556834,s_em_213p.wav,s_em_lc_213tw_12.wav,Stimuli/s_em_213p.wav,Stimuli/s_em_lc_213tw_12.wav,0.11634594521472674
In dem Gruselkabinett gibt es viele,geister,27,4.0,14,66,7,247,0.4090909090909091,1.983270700212413,em_hc,300,300,em,s_em_300p.wav,s_em_hc_300tw,0.4424074227207878,s_em_300p.wav,s_em_hc_300tw_12.wav,Stimuli/s_em_300p.wav,Stimuli/s_em_hc_300tw_12.wav,0.12321326608742178
Das Hochhaus ragte in den,himmel,65,1.0,2,66,6,72,0.9848484848484849,0.07851576409890412,el,74,74,el,s_el_074p.wav,s_el_074tw,0.7750798591104137,s_el_074p.wav,s_el_074tw_3.wav,Stimuli/s_el_074p.wav,Stimuli/s_el_074tw_3.wav,0.12854128651107666
