Sentence Number,condition,Comments,Sentence,Besonderheit,Answer,WordPrediction,wn,nwords,nprt,nw,sn,cloze,entropy,prior_recording,tw_recording
_486,el,,The house on the hill seemed haunted by a,,ghost,86,1,6,104,10,1275,0.8269230769230769,0.6270399040844348,e_el_486p.wav,e_el_486tw_3.wav
_396,el,,The chef sprayed the cooking spray onto the,,pan,96,1,7,103,9,1068,0.9320388349514563,0.3671200489866049,e_el_396p.wav,e_el_396tw_3.wav
_575,el,,The storewide clearance event attracted a huge,,crowd,97,1,7,104,8,1523,0.9326923076923077,0.3642634061034108,e_el_575p.wav,e_el_575tw_3.wav
_663,el,rerecorded,Under her pillow the little girl placed her,,tooth,98,1,6,105,9,1756,0.9333333333333333,0.3482517631865155,e_el_663p.wav,e_el_663tw_3.wav
_454,el,,The fish did not breathe properly due to a damaged,,gill,91,1,5,105,11,1213,0.8666666666666667,0.5333039228151273,e_el_454p.wav,e_el_454tw_6.wav
_094,el,,Before you take a bath you should clean the,,tub,90,1,9,104,10,203,0.8653846153846154,0.6519853318209144,e_el_094p.wav,e_el_094tw_6.wav
_507,el,,The little girl knew her friend had told a,,lie,93,1,4,105,10,1324,0.8857142857142857,0.4603460716737935,e_el_507p.wav,e_el_507tw_6.wav
_513,el,,The lotion made Annie break out in a,Name,rash,90,1,4,105,9,1331,0.8571428571428571,0.5143836340002829,e_el_513p.wav,e_el_513tw_6.wav
_406,el,,The color most associated with anger is,,red,101,1,2,103,8,1097,0.9805825242718447,0.09576329345209114,e_el_406p.wav,e_el_406tw_12.wav
_042,el,rerecorded,"After submitting the paper, Gwen realized she made a",Name,mistake,100,1,3,104,10,72,0.9615384615384616,0.184651904287397,e_el_042p.wav,e_el_042tw_12.wav
_109,el,,Chocolate is made from the roasted cacao,,bean,88,1,7,104,8,249,0.8461538461538461,0.6340399593710604,e_el_109p.wav,e_el_109tw_12.wav
_100,el,,Bill couldn't fix the car without having the right,Name,tools,87,1,4,103,10,213,0.8446601941747572,0.541052066031489,e_el_100p.wav,e_el_100tw_12.wav
_358,el,,The award-winning pizza had a delicious and soft,,crust,96,1,5,104,9,995,0.9230769230769231,0.3644976473479905,e_el_358p.wav,e_el_358tw_1.wav
_517,el,,The man bought his girlfriend a diamond,,ring,98,1,5,104,8,1335,0.9423076923076923,0.2922500359132921,e_el_517p.wav,e_el_517tw_1.wav
_415,el,,The criminal was nervous to appear before the,,judge,80,1,4,104,9,1122,0.7692307692307693,0.6197268150279738,e_el_415p.wav,e_el_415tw_1.wav
_326,el,,"Sally froze upon seeing the snake, crippled by",Name,fear,101,1,5,105,9,887,0.9619047619047619,0.2146539482435499,e_el_326p.wav,e_el_326tw_1.wav
_562,em_hc,,The sick child enjoyed eating the bowl of,,soup,64,1,11,99,9,1493,0.6464646464646465,1.316165975585405,e_em_562p.wav,e_em_hc_562tw_3.wav
_296,em_hc,,"On a stormy night, the ship captain hit a",,rock,44,1,20,102,10,802,0.4313725490196079,2.027242434152705,e_em_296p.wav,e_em_hc_296tw_3.wav
_289,em_hc,,None of the witnesses could describe the suspect's,,face,52,1,12,104,9,794,0.5,1.597596237447487,e_em_289p.wav,e_em_hc_289tw_3.wav
_160,em_hc,,"Every morning, Jeff poured his coffee into a",Name,mug,72,1,5,104,9,366,0.6923076923076923,0.8920721570827146,e_em_160p.wav,e_em_hc_160tw_3.wav
_051,em_hc,,Alexander placed the car key in the,Name,ignition,54,1,26,104,8,97,0.5192307692307693,2.036641783427134,e_em_051p.wav,e_em_hc_051tw_6.wav
_589,em_hc,rerecorded,The thief was disappointed to open an empty,,safe,81,1,12,104,9,1551,0.7788461538461539,0.9984525568921909,e_em_589p.wav,e_em_hc_589tw_6.wav
_599,em_hc,,The ugly bird had trouble finding a,,mate,60,1,10,104,8,1586,0.5769230769230769,1.366794355361221,e_em_599p.wav,e_em_hc_599tw_6.wav
_419,em_hc,,The detectives found their suspect after pursuing a,,lead,63,1,15,103,9,1135,0.6116504854368932,1.548283253477303,e_em_419p.wav,e_em_hc_419tw_6.wav
_375,em_hc,,The boy was nervous to ask Lily for a,Name,date,77,1,13,105,10,1028,0.7333333333333333,1.109266141474757,e_em_375p.wav,e_em_hc_375tw_12.wav
_232,em_hc,,Julia couldn't return the dress due to the missing,Name,tag,53,1,8,105,10,631,0.5047619047619047,1.265102908896248,e_em_232p.wav,e_em_hc_232tw_12.wav
_028,em_hc,,"After hours doing yard work, Jude was covered in",Name,dirt,51,1,10,105,10,52,0.4857142857142857,1.475413058792533,e_em_028p.wav,e_em_hc_028tw_12.wav
_312,em_hc,,Rain water leaked through the big cracks on the,,roof,63,1,15,105,10,855,0.6,1.511623357597178,e_em_312p.wav,e_em_hc_312tw_12.wav
