Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_2
Nach den vielen Stufen war sie außer,atem,53,1.0,4,66,8,309,0.803030303030303,0.6017408114348417,el,368,368,el,s_el_368p.wav,s_el_368tw,0.5069282215798083,s_el_368p.wav,s_el_368tw_12.wav,Stimuli/s_el_368p.wav,Stimuli/s_el_368tw_12.wav,0.7592652211091665
In der Menschenmenge erkannte mich meine,chefin,1,1.0,16,67,7,260,0.01492537313432836,1.958237694603065,em_lc,313,313,em,s_em_313p.wav,s_em_lc_313tw,0.7546819605470017,s_em_313p.wav,s_em_lc_313tw_1.wav,Stimuli/s_em_313p.wav,Stimuli/s_em_lc_313tw_1.wav,0.7630576973760331
Beim Kochen schnitt sich Onur in den,finger,61,3.0,5,68,8,57,0.8970588235294118,0.4629571619158683,el,50,50,el,s_el_050p.wav,s_el_050tw,0.9844461188451467,s_el_050p.wav,s_el_050tw_1.wav,Stimuli/s_el_050p.wav,Stimuli/s_el_050tw_1.wav,0.7716295563598773
Aus der Mine hoben die Bergarbeiter wertvolles,kupfer,1,9.0,13,65,8,46,0.01538461538461539,1.635823904280963,em_lc,43,43,em,s_em_043p.wav,s_em_lc_043tw,0.7492756334440502,s_em_043p.wav,s_em_lc_043tw_1.wav,Stimuli/s_em_043p.wav,Stimuli/s_em_lc_043tw_1.wav,0.7788386897977622
Im Labor untersuchten die Wissenschaftler die,proben,15,19.0,31,68,7,233,0.2205882352941176,2.987722069645366,eh,281,281,eh,s_eh_281p.wav,s_eh_281tw,0.7862457145031034,s_eh_281p.wav,s_eh_281tw_12.wav,Stimuli/s_eh_281p.wav,Stimuli/s_eh_281tw_12.wav,0.7857428643532541
Zu Risiken und Nebenwirkungen fragen Sie Ihren Arzt oder,elektriker,0,1.0,2,75,10,24,0.0,0.1229569993369445,el_mm,433,433,el,s_el_433p.wav,s_el_mm_433tw,0.2123657393374141,s_el_433p.wav,s_el_mm_433tw_6.wav,Stimuli/s_el_433p.wav,Stimuli/s_el_mm_433tw_6.wav,0.7994414014325157
Wir treffen uns heute Nachmittag im,foyer,1,4.0,12,68,7,352,0.01470588235294118,1.773827066734801,em_lc,429,429,em,s_em_429p.wav,s_em_lc_429tw,0.42034495452822573,s_em_429p.wav,s_em_lc_429tw_6.wav,Stimuli/s_em_429p.wav,Stimuli/s_em_lc_429tw_6.wav,0.8020322346868807
Ihre Arbeit machte ihr ,Spaß,45,,2,52,5,23,0.8653846153846154,0.3950671208304354,el,263,263,el,s_el_263p.wav,s_el_263tw,0.23617446580596624,s_el_263p.wav,s_el_263tw_6.wav,Stimuli/s_el_263p.wav,Stimuli/s_el_263tw_6.wav,0.8079043592004644
Bei Nacht spendet die Straßenlaterne helles,licht,68,1.0,1,68,7,53,1.0,0.0,el,48,48,el,s_el_048p.wav,s_el_048tw,0.8092666285259611,s_el_048p.wav,s_el_048tw_1.wav,Stimuli/s_el_048p.wav,Stimuli/s_el_048tw_1.wav,0.8083114061969735
Auf dem Bauernhof gibt es viele grunzende,schweine,72,4.0,5,76,8,2,0.9473684210526315,0.279154911744805,el,13,13,el,s_el_013p.wav,s_el_013tw,0.37816719959697653,s_el_013p.wav,s_el_013tw_6.wav,Stimuli/s_el_013p.wav,Stimuli/s_el_013tw_6.wav,0.8088120998222326
