Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_3
Beim Kochen schnitt sich Onur in den,finger,61,3.0,5,68,8,57,0.8970588235294118,0.4629571619158683,el,50,50,el,s_el_050p.wav,s_el_050tw,0.9844461188451467,s_el_050p.wav,s_el_050tw_3.wav,Stimuli/s_el_050p.wav,Stimuli/s_el_050tw_3.wav,0.7594758871535671
In der Nachbarsstadt gibt es die größte Messe für,bücher,7,13.0,49,66,10,261,0.1060606060606061,3.706383995402767,eh,315,315,eh,s_eh_315p.wav,s_eh_315tw,0.9312937117307023,s_eh_315p.wav,s_eh_315tw_3.wav,Stimuli/s_eh_315p.wav,Stimuli/s_eh_315tw_3.wav,0.7624136391124257
Heimlich stahl das kleine Mädchen aus der Handtasche der Mutter eine,münze,21,18.0,32,68,12,204,0.3088235294117647,2.797303443675204,eh,242,242,eh,s_eh_242p.wav,s_eh_242tw,0.8066622004344391,s_eh_242p.wav,s_eh_242tw_1.wav,Stimuli/s_eh_242p.wav,Stimuli/s_eh_242tw_1.wav,0.764669362102617
Der Spion lauscht bei einem Gespräch über die,politik,8,35.0,55,68,9,135,0.1176470588235294,3.844852607471362,eh,143,143,eh,s_eh_143p.wav,s_eh_143tw,0.5333276807061235,s_eh_143p.wav,s_eh_143tw_1.wav,Stimuli/s_eh_143p.wav,Stimuli/s_eh_143tw_1.wav,0.7727982731971597
Die Belegschaft streikt für ein höheres,gehalt,67,3.0,3,76,7,8,0.881578947368421,0.4050762635411546,el,168,168,el,s_el_168p.wav,s_el_168tw,0.9852240819547546,s_el_168p.wav,s_el_168tw_3.wav,Stimuli/s_el_168p.wav,Stimuli/s_el_168tw_3.wav,0.7948420576827596
Der Arzt bemühte sich sehr um seinen ,Schnellkochtopf,0,,3,47,8,5,0.0,0.2054707498023056,el_mm,88,88,el,s_el_088p.wav,s_el_mm_088tw,0.4404219066939965,s_el_088p.wav,s_el_mm_088tw_12.wav,Stimuli/s_el_088p.wav,Stimuli/s_el_mm_088tw_12.wav,0.7976752913087518
"Es gibt kein schlechtes Wetter, nur schlechte",kleidung,55,3.0,7,76,8,9,0.7236842105263158,0.9080660175937085,em_hc,229,229,em,s_em_229p.wav,s_em_hc_229tw,0.7940231140639905,s_em_229p.wav,s_em_hc_229tw_3.wav,Stimuli/s_em_229p.wav,Stimuli/s_em_hc_229tw_3.wav,0.8194372077036035
Die Spaziergänger verirrten sich im,klo,0,8.0,8,68,6,182,0.0,0.6746419396441673,el_mm,211,211,el,s_el_211p.wav,s_el_mm_211tw,0.7503354468524239,s_el_211p.wav,s_el_mm_211tw_3.wav,Stimuli/s_el_211p.wav,Stimuli/s_el_mm_211tw_3.wav,0.8219823728232393
Aus der Mine hoben die Bergarbeiter wertvolles,kupfer,1,9.0,13,65,8,46,0.01538461538461539,1.635823904280963,em_lc,43,43,em,s_em_043p.wav,s_em_lc_043tw,0.7492756334440502,s_em_043p.wav,s_em_lc_043tw_3.wav,Stimuli/s_em_043p.wav,Stimuli/s_em_lc_043tw_3.wav,0.8245891650442325
Über den Stuhl hängt sie ihre,jacke,51,5.0,11,68,7,338,0.75,1.092155375096271,em_hc,410,410,em,s_em_410p.wav,s_em_hc_410tw,0.48416235517798656,s_em_410p.wav,s_em_hc_410tw_1.wav,Stimuli/s_em_410p.wav,Stimuli/s_em_hc_410tw_1.wav,0.8283131359613244
Der Comedien machte sich lustig über die,politiker,14,19.0,28,66,8,94,0.2121212121212121,2.849741969032072,eh,97,97,eh,s_eh_097p.wav,s_eh_097tw,0.6797382779008936,s_eh_097p.wav,s_eh_097tw_1.wav,Stimuli/s_eh_097p.wav,Stimuli/s_eh_097tw_1.wav,0.8345481507427699
Der Fernseher im Wohnzimmer hat einen großen,sprung,1,12.0,12,67,8,96,0.01492537313432836,1.07101215383528,em_lc,102,102,em,s_em_102p.wav,s_em_lc_102tw,0.4361848386095347,s_em_102p.wav,s_em_lc_102tw_12.wav,Stimuli/s_em_102p.wav,Stimuli/s_em_lc_102tw_12.wav,0.8357516748903991
Beim Wandern finden sie auf dem Weg eine,schlange,9,31.0,37,67,9,63,0.1343283582089552,3.317582105071487,eh,58,58,eh,s_eh_058p.wav,s_eh_058tw,0.18664281667961202,s_eh_058p.wav,s_eh_058tw_6.wav,Stimuli/s_eh_058p.wav,Stimuli/s_eh_058tw_6.wav,0.8359489362891015
Auf einer Mission untersuchten die Astronauten die Oberfläche des,raumschiffs,2,7.0,7,67,10,36,0.02985074626865672,1.027560442651357,em_lc,31,31,em,s_em_031p.wav,s_em_lc_031tw,0.5941189850356087,s_em_031p.wav,s_em_lc_031tw_1.wav,Stimuli/s_em_031p.wav,Stimuli/s_em_lc_031tw_1.wav,0.8412656951118592
Die Maus knabberte an einem Stück,käse,62,2.0,5,66,7,176,0.9393939393939394,0.3126497136507334,el,204,204,el,s_el_204p.wav,s_el_204tw,0.5130255790747947,s_el_204p.wav,s_el_204tw_1.wav,Stimuli/s_el_204p.wav,Stimuli/s_el_204tw_1.wav,0.8500988291921997
Berlin ist eine laute,Stadt,44,,1,44,5,3,1.0,0.0,el,59,59,el,s_el_059p.wav,s_el_059tw,0.381432986520442,s_el_059p.wav,s_el_059tw_12.wav,Stimuli/s_el_059p.wav,Stimuli/s_el_059tw_12.wav,0.8532000328184643
Viola stand vor der geschlossenen Tür und drückte die,klingel,38,2.0,4,76,10,23,0.5,0.9321128820610584,em_hc,418,418,em,s_em_418p.wav,s_em_hc_418tw,0.9849914458260147,s_em_418p.wav,s_em_hc_418tw_3.wav,Stimuli/s_em_418p.wav,Stimuli/s_em_hc_418tw_3.wav,0.8609597172635337
Die italienische Mafia handelt vor allem mit,köpfchen,1,6.0,11,68,8,163,0.01470588235294118,1.133246777304232,em_lc,186,186,em,s_em_186p.wav,s_em_lc_186tw,0.886162624543655,s_em_186p.wav,s_em_lc_186tw_3.wav,Stimuli/s_em_186p.wav,Stimuli/s_em_lc_186tw_3.wav,0.8656127069172084
Ich beneide meine Nachbarin für ihren schönen,hals,1,8.0,14,59,8,207,0.01694915254237288,1.361699768854784,em_lc,247,247,em,s_em_247p.wav,s_em_lc_247tw,0.6527513470691078,s_em_247p.wav,s_em_lc_247tw_1.wav,Stimuli/s_em_247p.wav,Stimuli/s_em_lc_247tw_1.wav,0.8681764582852831
Rund um den Garten zog er einen ,gnom,0,,3,53,8,34,0.0,0.4252275911752877,el_mm,391,391,el,s_el_391p.wav,s_el_mm_391tw,0.021040217218277313,s_el_391p.wav,s_el_mm_391tw_6.wav,Stimuli/s_el_391p.wav,Stimuli/s_el_mm_391tw_6.wav,0.872957670802335
Das Wachs tropft von der brennenden,kerze,75,2.0,2,76,7,4,0.9868421052631579,0.07005428087549845,el,81,81,el,s_el_081p.wav,s_el_081tw,0.5294127963751175,s_el_081p.wav,s_el_081tw_1.wav,Stimuli/s_el_081p.wav,Stimuli/s_el_081tw_1.wav,0.8765579111006132
Inspiriert von ihrem neuen Buch begann sie mit dem,häkeln,1,3.0,18,68,10,282,0.01470588235294118,1.93318409911823,em_lc,336,336,em,s_em_336p.wav,s_em_lc_336tw,0.5518611319567187,s_em_336p.wav,s_em_lc_336tw_12.wav,Stimuli/s_em_336p.wav,Stimuli/s_em_lc_336tw_12.wav,0.8770522025438342
Zur Bekräftigung des Friedens rauchten die Indianer eine,Feige,0,,2,44,9,37,0.0,0.4741393130578374,el_mm,439,439,el,s_el_439p.wav,s_el_mm_439tw,0.2530658462952279,s_el_439p.wav,s_el_mm_439tw_12.wav,Stimuli/s_el_439p.wav,Stimuli/s_el_mm_439tw_12.wav,0.8825509198284637
Trotz der Turbulenzen bringt der Pilot das Flugzeug sicher nach,hause,30,6.0,15,66,11,336,0.4545454545454545,1.625007325237624,em_hc,406,406,em,s_em_406p.wav,s_em_hc_406tw,0.25744945353118476,s_em_406p.wav,s_em_hc_406tw_12.wav,Stimuli/s_em_406p.wav,Stimuli/s_em_hc_406tw_12.wav,0.8863671930210004
Zur Belohnung gebe ich meinem Hund ein,leckerli,60,2.0,2,61,8,360,0.9836065573770492,0.08364970461058928,el,441,441,el,s_el_441p.wav,s_el_441tw,0.8443069820546513,s_el_441p.wav,s_el_441tw_3.wav,Stimuli/s_el_441p.wav,Stimuli/s_el_441tw_3.wav,0.886741255184082
Ihr Kleid war aus reiner ,Seide,42,,2,44,6,22,0.9545454545454546,0.1849073991677757,el,261,261,el,s_el_261p.wav,s_el_261tw,0.8937010653434926,s_el_261p.wav,s_el_261tw_3.wav,Stimuli/s_el_261p.wav,Stimuli/s_el_261tw_3.wav,0.8870192536084927
Im Hochsommer erntet der Imker den heimischen,spargel,0,1.0,2,73,8,11,0.0,0.07237778951611745,el_mm,273,273,el,s_el_273p.wav,s_el_mm_273tw,0.9274142718400543,s_el_273p.wav,s_el_mm_273tw_3.wav,Stimuli/s_el_273p.wav,Stimuli/s_el_mm_273tw_3.wav,0.8899456347324257
Im Zoo füttern die Tierpfleger die hungrigen,löwen,30,7.0,14,68,8,244,0.4411764705882353,1.82565995798843,em_hc,293,293,em,s_em_293p.wav,s_em_hc_293tw,0.718783214233792,s_em_293p.wav,s_em_hc_293tw_1.wav,Stimuli/s_em_293p.wav,Stimuli/s_em_hc_293tw_1.wav,0.891896241751786
Die weiße Wolke am Himmel sieht aus wie ein,schaf,12,23.0,30,67,10,188,0.1791044776119403,3.014355621412924,eh,219,219,eh,s_eh_219p.wav,s_eh_219tw,0.010418133673446683,s_eh_219p.wav,s_eh_219tw_6.wav,Stimuli/s_eh_219p.wav,Stimuli/s_eh_219tw_6.wav,0.8921201508020881
