Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_1
Ihr Kleid war aus reiner ,Seide,42,,2,44,6,22,0.9545454545454546,0.1849073991677757,el,261,261,el,s_el_261p.wav,s_el_261tw,0.8937010653434926,s_el_261p.wav,s_el_261tw_12.wav,Stimuli/s_el_261p.wav,Stimuli/s_el_261tw_12.wav,0.5200644863438373
Die Bewohner bemerkten den Einbruch erst am nächsten ,Wall,0,,2,44,9,13,0.0,0.6416366319605135,el_mm,170,170,el,s_el_170p.wav,s_el_mm_170tw,0.6964467450370888,s_el_170p.wav,s_el_mm_170tw_12.wav,Stimuli/s_el_170p.wav,Stimuli/s_el_mm_170tw_12.wav,0.5276782117242524
Der Sicherheitsbeauftragte entdeckte große Mängel bei den,türen,4,45.0,49,67,8,133,0.05970149253731343,3.759634711966251,eh,139,139,eh,s_eh_139p.wav,s_eh_139tw,0.8618390865687711,s_eh_139p.wav,s_eh_139tw_12.wav,Stimuli/s_eh_139p.wav,Stimuli/s_eh_139tw_12.wav,0.533680590019886
Aus dem Tresor stehlen die Bankräuber wertvolle,diamanten,8,5.0,26,65,8,43,0.1230769230769231,2.981211013591902,eh,40,40,eh,s_eh_040p.wav,s_eh_040tw,0.004936902882194394,s_eh_040p.wav,s_eh_040tw_1.wav,Stimuli/s_eh_040p.wav,Stimuli/s_eh_040tw_1.wav,0.5349849377154219
In seinem alten Kinderzimmer suchte er nach seinem,teddy,9,35.0,39,67,9,277,0.1343283582089552,3.363602743266912,eh,330,330,eh,s_eh_330p.wav,s_eh_330tw,0.3609419603991014,s_eh_330p.wav,s_eh_330tw_3.wav,Stimuli/s_eh_330p.wav,Stimuli/s_eh_330tw_3.wav,0.5368006642820286
Auf ihre Spaghetti reibt sie sich,trüffel,1,4.0,4,68,7,38,0.01470588235294118,0.8097062407470905,em_lc,33,33,em,s_em_033p.wav,s_em_lc_033tw,0.46463423954315963,s_em_033p.wav,s_em_lc_033tw_3.wav,Stimuli/s_em_033p.wav,Stimuli/s_em_lc_033tw_3.wav,0.5436763295598918
Der junge Mann trägt die Last auf seinen,nägeln,0,2.0,2,66,9,113,0.0,0.2286318735828613,el_mm,120,120,el,s_el_120p.wav,s_el_mm_120tw,0.802588726887189,s_el_120p.wav,s_el_mm_120tw_12.wav,Stimuli/s_el_120p.wav,Stimuli/s_el_mm_120tw_12.wav,0.549464233305145
Viola stand vor der geschlossenen Tür und drückte die,klingel,38,2.0,4,76,10,23,0.5,0.9321128820610584,em_hc,418,418,em,s_em_418p.wav,s_em_hc_418tw,0.9849914458260147,s_em_418p.wav,s_em_hc_418tw_12.wav,Stimuli/s_em_418p.wav,Stimuli/s_em_hc_418tw_12.wav,0.5566003367024711
Ihre Hände waren ganz wund vom,putzen,9,7.0,28,68,7,218,0.1323529411764706,2.884835511218853,eh,265,265,eh,s_eh_265p.wav,s_eh_265tw,0.4625522974893246,s_eh_265p.wav,s_eh_265tw_3.wav,Stimuli/s_eh_265p.wav,Stimuli/s_eh_265tw_3.wav,0.5620160161828731
Am Montag hält Karim ein Referat über,tiere,4,52.0,58,67,8,9,0.05970149253731343,3.997783013253671,eh,10,10,eh,s_eh_010p.wav,s_eh_010tw,0.23171691912041437,s_eh_010p.wav,s_eh_010tw_3.wav,Stimuli/s_eh_010p.wav,Stimuli/s_eh_010tw_3.wav,0.5641162562662543
Wir treffen uns heute Nachmittag im,foyer,1,4.0,12,68,7,352,0.01470588235294118,1.773827066734801,em_lc,429,429,em,s_em_429p.wav,s_em_lc_429tw,0.42034495452822573,s_em_429p.wav,s_em_lc_429tw_3.wav,Stimuli/s_em_429p.wav,Stimuli/s_em_lc_429tw_3.wav,0.574168281317982
Heimlich stahl das kleine Mädchen aus der Handtasche der Mutter eine,münze,21,18.0,32,68,12,204,0.3088235294117647,2.797303443675204,eh,242,242,eh,s_eh_242p.wav,s_eh_242tw,0.8066622004344391,s_eh_242p.wav,s_eh_242tw_6.wav,Stimuli/s_eh_242p.wav,Stimuli/s_eh_242tw_6.wav,0.5755726329202238
Ganz hinten unter der Decke liegt ein,kissen,15,13.0,29,68,8,200,0.2205882352941176,2.865993411786329,eh,239,239,eh,s_eh_239p.wav,s_eh_239tw,0.3961614839303652,s_eh_239p.wav,s_eh_239tw_3.wav,Stimuli/s_eh_239p.wav,Stimuli/s_eh_239tw_3.wav,0.5820898811002916
Ich gehe zum Fahrradladen und hole eine,pumpe,34,8.0,13,63,8,209,0.5396825396825397,1.525829170617983,em_hc,249,249,em,s_em_249p.wav,s_em_hc_249tw,0.5190454708276653,s_em_249p.wav,s_em_hc_249tw_6.wav,Stimuli/s_em_249p.wav,Stimuli/s_em_hc_249tw_6.wav,0.5842595332652845
Das Hochhaus ragte in den,himmel,65,1.0,2,66,6,72,0.9848484848484849,0.07851576409890412,el,74,74,el,s_el_074p.wav,s_el_074tw,0.7750798591104137,s_el_074p.wav,s_el_074tw_12.wav,Stimuli/s_el_074p.wav,Stimuli/s_el_074tw_12.wav,0.5864634099131839
Meine Schwester studiert Medizin an der,universität,49,6.0,6,67,7,296,0.7313432835820896,0.9744178016214289,em_hc,354,354,em,s_em_354p.wav,s_em_hc_354tw,0.05594999379606069,s_em_354p.wav,s_em_hc_354tw_1.wav,Stimuli/s_em_354p.wav,Stimuli/s_em_hc_354tw_1.wav,0.5978077700713961
Der Spion lauscht bei einem Gespräch über die,politik,8,35.0,55,68,9,135,0.1176470588235294,3.844852607471362,eh,143,143,eh,s_eh_143p.wav,s_eh_143tw,0.5333276807061235,s_eh_143p.wav,s_eh_143tw_6.wav,Stimuli/s_eh_143p.wav,Stimuli/s_eh_143tw_6.wav,0.6112408511718045
Zu ihrem Kleid trug sie passende,krüge,0,4.0,8,67,7,353,0.0,0.6483003308248153,el_mm,431,431,el,s_el_431p.wav,s_el_mm_431tw,0.7254879852173614,s_el_431p.wav,s_el_mm_431tw_12.wav,Stimuli/s_el_431p.wav,Stimuli/s_el_mm_431tw_12.wav,0.6127767647548686
Der Boxer schlug seinem Gegner auf die,nase,43,9.0,14,68,8,92,0.6323529411764706,1.433631423824815,em_hc,95,95,em,s_em_095p.wav,s_em_hc_095tw,0.951020436260346,s_em_095p.wav,s_em_hc_095tw_12.wav,Stimuli/s_em_095p.wav,Stimuli/s_em_hc_095tw_12.wav,0.6135846325946677
Mit dem 3-D Drucker fertigt Marius eine,skulptur,9,28.0,35,65,8,299,0.1384615384615385,3.234490724894502,eh,356,356,eh,s_eh_356p.wav,s_eh_356tw,0.9709754135347894,s_eh_356p.wav,s_eh_356tw_12.wav,Stimuli/s_eh_356p.wav,Stimuli/s_eh_356tw_12.wav,0.6270618061882912
Nach den vielen Stufen war sie außer,atem,53,1.0,4,66,8,309,0.803030303030303,0.6017408114348417,el,368,368,el,s_el_368p.wav,s_el_368tw,0.5069282215798083,s_el_368p.wav,s_el_368tw_6.wav,Stimuli/s_el_368p.wav,Stimuli/s_el_368tw_6.wav,0.6292689202019169
In der Jugendherberge übernachten viele,frauen,1,2.0,12,67,6,257,0.01492537313432836,1.764350618439406,em_lc,311,311,em,s_em_311p.wav,s_em_lc_311tw,0.20680023000236314,s_em_311p.wav,s_em_lc_311tw_1.wav,Stimuli/s_em_311p.wav,Stimuli/s_em_lc_311tw_1.wav,0.6308087345296852
Die Maus knabberte an einem Stück,käse,62,2.0,5,66,7,176,0.9393939393939394,0.3126497136507334,el,204,204,el,s_el_204p.wav,s_el_204tw,0.5130255790747947,s_el_204p.wav,s_el_204tw_6.wav,Stimuli/s_el_204p.wav,Stimuli/s_el_204tw_6.wav,0.6315671176294717
Nach dem Essen bezahlte er die ,zweige,0,,4,43,7,28,0.0,0.4821102833251335,el_mm,363,363,el,s_el_363p.wav,s_el_mm_363tw,0.258799357528518,s_el_363p.wav,s_el_mm_363tw_3.wav,Stimuli/s_el_363p.wav,Stimuli/s_el_mm_363tw_3.wav,0.6329915588817039
Im Gefägnis waren Gitter vor den ,Fenstern,49,,3,52,7,24,0.9423076923076923,0.2572920076479544,el,271,271,el,s_el_271p.wav,s_el_271tw,0.12359201058339353,s_el_271p.wav,s_el_271tw_1.wav,Stimuli/s_el_271p.wav,Stimuli/s_el_271tw_1.wav,0.6362006967103063
Nächstes Jahr kommt mein kleiner Sohn schon in die ,Miene,0,,2,47,10,30,0.0,0.1029666604654124,el_mm,384,384,el,s_el_384p.wav,s_el_mm_384tw,0.10595502277846514,s_el_384p.wav,s_el_mm_384tw_1.wav,Stimuli/s_el_384p.wav,Stimuli/s_el_mm_384tw_1.wav,0.6480502459822507
Die U-Bahn am Marienplatz war voller,ratten,1,12.0,17,66,7,185,0.01515151515151515,1.642563514548485,em_lc,213,213,em,s_em_213p.wav,s_em_lc_213tw,0.40719372584556834,s_em_213p.wav,s_em_lc_213tw_3.wav,Stimuli/s_em_213p.wav,Stimuli/s_em_lc_213tw_3.wav,0.6548913130961115
In London entwarf die Stararchitektin ein neues,gebäude,25,6.0,13,65,8,276,0.3846153846153846,1.805822329723849,em_hc,328,328,em,s_em_328p.wav,s_em_hc_328tw,0.6064601399476497,s_em_328p.wav,s_em_hc_328tw_6.wav,Stimuli/s_em_328p.wav,Stimuli/s_em_hc_328tw_6.wav,0.6605529292380201
Auf der Straße repariert der Bauarbeiter ein,tor,1,17.0,17,65,8,33,0.01538461538461539,2.083047986725922,em_lc,28,28,em,s_em_028p.wav,s_em_lc_028tw,0.7409783990766099,s_em_028p.wav,s_em_lc_028tw_12.wav,Stimuli/s_em_028p.wav,Stimuli/s_em_lc_028tw_12.wav,0.6611432268848059
Im Streit zog das Mädchen seiner Freundin an den,knöpfen,0,1.0,3,68,10,239,0.0,0.2994685109533696,el_mm,287,287,el,s_el_287p.wav,s_el_mm_287tw,0.042539697023417866,s_el_287p.wav,s_el_mm_287tw_1.wav,Stimuli/s_el_287p.wav,Stimuli/s_el_mm_287tw_1.wav,0.6654585411590398
Die Köchin würzte das Essen mit,ingwer,1,5.0,14,68,7,172,0.01470588235294118,1.465469918390653,em_lc,200,200,em,s_em_200p.wav,s_em_lc_200tw,0.05049069068459866,s_em_200p.wav,s_em_lc_200tw_1.wav,Stimuli/s_em_200p.wav,Stimuli/s_em_lc_200tw_1.wav,0.6660695012369601
Heute gab es zu den Kartoffeln nur,quark,13,15.0,23,64,8,205,0.203125,2.730844774839591,eh,244,244,eh,s_eh_244p.wav,s_eh_244tw,0.7166980166784818,s_eh_244p.wav,s_eh_244tw_6.wav,Stimuli/s_eh_244p.wav,Stimuli/s_eh_244tw_6.wav,0.6673625471171158
Ich trinke gerne ein Glas Wein zum,tee,1,11.0,12,68,8,214,0.01470588235294118,1.422135119488624,em_lc,255,255,em,s_em_255p.wav,s_em_lc_255tw,0.9657713918388418,s_em_255p.wav,s_em_lc_255tw_12.wav,Stimuli/s_em_255p.wav,Stimuli/s_em_lc_255tw_12.wav,0.6683205444524319
Der Winter ist die beste Zeit zum,skifahren,29,12.0,14,66,8,145,0.4393939393939394,1.878044805414511,em_hc,154,154,em,s_em_154p.wav,s_em_hc_154tw,0.825364564747592,s_em_154p.wav,s_em_hc_154tw_12.wav,Stimuli/s_em_154p.wav,Stimuli/s_em_hc_154tw_12.wav,0.6794811419386911
