Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_1
Ich beneide meine Nachbarin f�r ihren sch�nen;hals;1;8;14;59;8;207;0,016949153;1,361699769;em_lc;247;247;em;s_em_247p.wav;s_em_lc_247tw;0,652751347;s_em_247p.wav;s_em_lc_247tw_6.wav;Stimuli/s_em_247p.wav;Stimuli/s_em_lc_247tw_6.wav;0,000849035
Sie strengte sich an, aber erkannte keine;muster;8;26;41;67;8;331;0,119402985;3,489619068;eh;400;400;eh;s_eh_400p.wav;s_eh_400tw;0,200478071;s_eh_400p.wav;s_eh_400tw_1.wav;Stimuli/s_eh_400p.wav;Stimuli/s_eh_400tw_1.wav;0,011510222
Ihr Gro�vater vererbte ihr seine wertvolle;uhr;36;11;12;68;7;216;0,529411765;1,584654678;em_hc;259;259;em;s_em_259p.wav;s_em_hc_259tw;0,329226922;s_em_259p.wav;s_em_hc_259tw_3.wav;Stimuli/s_em_259p.wav;Stimuli/s_em_hc_259tw_3.wav;0,012113632
Die alte Dame sitzt auf der Parkbank und f�ttert die;tauben;28;7;8;68;11;149;0,411764706;1,399570529;em_hc;164;164;em;s_em_164p.wav;s_em_hc_164tw;0,270080765;s_em_164p.wav;s_em_hc_164tw_3.wav;Stimuli/s_em_164p.wav;Stimuli/s_em_hc_164tw_3.wav;0,019536028
Der Fluss durch die Stadt f�hrt direkt zum;meer;31;6;16;66;9;99;0,46969697;1,824052822;em_hc;107;107;em;s_em_107p.wav;s_em_hc_107tw;0,796966834;s_em_107p.wav;s_em_hc_107tw_12.wav;Stimuli/s_em_107p.wav;Stimuli/s_em_hc_107tw_12.wav;0,023847789
Sie wischte sich den Schwei� von der;stirn;65;4;4;68;8;333;0,955882353;0,22928458;el;402;402;el;s_el_402p.wav;s_el_402tw;0,147395097;s_el_402p.wav;s_el_402tw_1.wav;Stimuli/s_el_402p.wav;Stimuli/s_el_402tw_1.wav;0,02991918
Zur Belohnung gebe ich meinem Hund ein;leckerli;60;2;2;61;8;360;0,983606557;0,083649705;el;441;441;el;s_el_441p.wav;s_el_441tw;0,844306982;s_el_441p.wav;s_el_441tw_12.wav;Stimuli/s_el_441p.wav;Stimuli/s_el_441tw_12.wav;0,03257917
Auf der Ladefl�che des Transporters befand sich eine;kiste;14;10;35;68;9;32;0,205882353;3,189191245;eh;27;027;eh;s_eh_027p.wav;s_eh_027tw;0,668115452;s_eh_027p.wav;s_eh_027tw_6.wav;Stimuli/s_eh_027p.wav;Stimuli/s_eh_027tw_6.wav;0,036610222
Immer mehr Jugendliche nehmen leichtsinnigerweise ;Drogen ;43;;2;44;6;25;0,977272727;0,108471339;el;297;297;el;s_el_297p.wav;s_el_297tw;0,4711133;s_el_297p.wav;s_el_297tw_6.wav;Stimuli/s_el_297p.wav;Stimuli/s_el_297tw_6.wav;0,038563601
Der Park in der N�he hat einen gro�en;see;28;7;9;67;9;126;0,417910448;1,562915662;em_hc;130;130;em;s_em_130p.wav;s_em_hc_130tw;0,161592418;s_em_130p.wav;s_em_hc_130tw_1.wav;Stimuli/s_em_130p.wav;Stimuli/s_em_hc_130tw_1.wav;0,045025511
