Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_2
Der Comedien machte sich lustig über die,politiker,14,19.0,28,66,8,94,0.2121212121212121,2.849741969032072,eh,97,97,eh,s_eh_097p.wav,s_eh_097tw,0.6797382779008936,s_eh_097p.wav,s_eh_097tw_12.wav,Stimuli/s_eh_097p.wav,Stimuli/s_eh_097tw_12.wav,0.497184986610798
Trotz der Turbulenzen bringt der Pilot das Flugzeug sicher nach,hause,30,6.0,15,66,11,336,0.4545454545454545,1.625007325237624,em_hc,406,406,em,s_em_406p.wav,s_em_hc_406tw,0.25744945353118476,s_em_406p.wav,s_em_hc_406tw_6.wav,Stimuli/s_em_406p.wav,Stimuli/s_em_hc_406tw_6.wav,0.5014609814483443
In dem Lexikon suchte Andrea nach einem Eintrag über,elefanten,3,16.0,54,68,10,249,0.04411764705882353,3.903314857665273,eh,303,303,eh,s_eh_303p.wav,s_eh_303tw,0.15539341258408412,s_eh_303p.wav,s_eh_303tw_3.wav,Stimuli/s_eh_303p.wav,Stimuli/s_eh_303tw_3.wav,0.504916616102961
Der Bieber baut seinen Damm aus vielen,ästen,31,1.0,10,67,8,90,0.4626865671641791,1.675670624096552,em_hc,93,93,em,s_em_093p.wav,s_em_hc_093tw,0.6619855263831322,s_em_093p.wav,s_em_hc_093tw_12.wav,Stimuli/s_em_093p.wav,Stimuli/s_em_hc_093tw_12.wav,0.5087093612187968
Am Abend verbrachte sie gern noch Zeit mit ihren,hasen,1,5.0,9,50,10,4,0.02,1.585504265655088,em_lc,4,4,em,s_em_004p.wav,s_em_lc_004tw,0.5052313417096371,s_em_004p.wav,s_em_lc_004tw_6.wav,Stimuli/s_em_004p.wav,Stimuli/s_em_lc_004tw_6.wav,0.5105494846822834
An Weihnachten schmückte die ganze Familie den Baum mit,kugeln,39,7.0,13,65,10,16,0.6,1.453515468666839,em_hc,11,11,em,s_em_011p.wav,s_em_hc_011tw,0.13933656102152936,s_em_011p.wav,s_em_hc_011tw_3.wav,Stimuli/s_em_011p.wav,Stimuli/s_em_hc_011tw_3.wav,0.5155868392127166
Lars schlug sein Pferd mit einer ,Peitsche ,40,,3,44,7,26,0.9090909090909091,0.3557574741327661,el,344,344,el,s_el_344p.wav,s_el_344tw,0.16121714691176714,s_el_344p.wav,s_el_344tw_3.wav,Stimuli/s_el_344p.wav,Stimuli/s_el_344tw_3.wav,0.5273942782472854
In dem Gruselkabinett gibt es viele,geister,27,4.0,14,66,7,247,0.4090909090909091,1.983270700212413,em_hc,300,300,em,s_em_300p.wav,s_em_hc_300tw,0.4424074227207878,s_em_300p.wav,s_em_hc_300tw_6.wav,Stimuli/s_em_300p.wav,Stimuli/s_em_hc_300tw_6.wav,0.5277804898718625
Der See ist ein beliebter Ort zum,angeln,1,1.0,13,68,8,132,0.01470588235294118,1.717522048202358,em_lc,137,137,em,s_em_137p.wav,s_em_lc_137tw,0.16001055611537285,s_em_137p.wav,s_em_lc_137tw_3.wav,Stimuli/s_em_137p.wav,Stimuli/s_em_lc_137tw_3.wav,0.5447721420589102
Der Spion lauscht bei einem Gespräch über die,politik,8,35.0,55,68,9,135,0.1176470588235294,3.844852607471362,eh,143,143,eh,s_eh_143p.wav,s_eh_143tw,0.5333276807061235,s_eh_143p.wav,s_eh_143tw_12.wav,Stimuli/s_eh_143p.wav,Stimuli/s_eh_143tw_12.wav,0.5565937348268498
Sie wischte sich den Schweiß von der,stirn,65,4.0,4,68,8,333,0.9558823529411765,0.2292845795405712,el,402,402,el,s_el_402p.wav,s_el_402tw,0.14739509737517376,s_el_402p.wav,s_el_402tw_3.wav,Stimuli/s_el_402p.wav,Stimuli/s_el_402tw_3.wav,0.5587070976763331
Nach der Gartenarbeit wusch sie sich gründlich die,achseln,0,2.0,2,76,9,17,0.0,0.1216924026780619,el_mm,370,370,el,s_el_370p.wav,s_el_mm_370tw,0.19946962618057296,s_el_370p.wav,s_el_mm_370tw_3.wav,Stimuli/s_el_370p.wav,Stimuli/s_el_mm_370tw_3.wav,0.5594943085642139
